datetime,gas_limit,gas_used,Open,avg_gas_price,max_gas_price,min_gas_price,block_utilisation
2021-11-26 00:00:00,29982435.264999997,15883605.265,4530.285,1.0352737876001334e-07,7.423722799999999e-07,9.00226111660775e-08,0.5297267953035262
2021-11-26 00:10:00,29944212.564999998,17425749.317500003,4535.8769999999995,1.0399598035948251e-07,4.583381566666667e-07,9.19050811367125e-08,0.5820598768471252
2021-11-26 00:20:00,29959802.29047619,15909798.158333331,4515.588,1.1219969474664285e-07,4.44029105952381e-07,9.937154758012737e-08,0.5310663218080321
2021-11-26 00:30:00,29970350.981666666,16898780.244999997,4518.949,1.1719238900682667e-07,6.067286683333334e-07,9.946298421743333e-08,0.5639133986400073
2021-11-26 00:40:00,30015942.0037037,15643053.397883598,4510.927000000001,1.0762238314250793e-07,5.489057878306878e-07,9.305665250897091e-08,0.521171987459064
2021-11-26 00:50:00,29975912.444444444,17608037.413888887,4499.9220000000005,1.0298898155572592e-07,4.0279443888888895e-07,9.071191090092222e-08,0.5874907828043348
2021-11-26 01:00:00,30006506.713015873,15839249.73579365,4502.019,9.941423874103356e-08,4.738722963731726e-07,8.720383829801961e-08,0.5279084981703603
2021-11-26 01:10:00,29976722.044523813,16648684.22714286,4503.982,9.753969371438e-08,4.6967814190476194e-07,8.478091109136357e-08,0.5553143221280991
2021-11-26 01:20:00,29976651.56698413,15313306.537936509,4509.089,9.81783869373463e-08,2.8168122321428574e-07,8.842179559172845e-08,0.5108257645887632
2021-11-26 01:30:00,29975524.188095238,18006603.30978836,4509.019,1.007451907925754e-07,9.43018082010582e-07,8.934509036349525e-08,0.600673952854458
2021-11-26 01:40:00,29960089.175,17993867.935,4494.567,1.0890095564914e-07,5.649385516666667e-07,9.613132289475001e-08,0.6006199308972964
2021-11-26 01:50:00,29950443.329880953,15649382.67238095,4490.077,1.1516106772753583e-07,1.0719290082142856e-06,9.901457465731058e-08,0.5225141112830574
2021-11-26 02:00:00,29979226.589999996,17375105.401666667,4485.155000000001,1.108080113028e-07,9.345960983333335e-07,9.442052393864333e-08,0.5795615995020001
2021-11-26 02:10:00,29954998.648333333,15812250.093333334,4489.748,1.1739734414573999e-07,1.1311649133333335e-06,1.0233030934311166e-07,0.5278709859720702
2021-11-26 02:20:00,29980266.37037037,17478446.025925927,4485.959,1.297629037037037e-07,4.315192333333333e-07,1.1736169809114815e-07,0.5830235982949157
2021-11-26 02:30:00,29970115.208571427,15862447.95095238,4491.476000000001,1.2257057003827143e-07,8.652698114285714e-07,1.0489994804803334e-07,0.5292912220360629
2021-11-26 02:40:00,29954244.491666667,15664345.988333333,4495.3,9.624406675447166e-08,3.49319825e-07,8.346481050451667e-08,0.5229101537634959
2021-11-26 02:50:00,29976492.514814813,17601242.81851852,4475.862,1.0709028302945186e-07,7.916534425925927e-07,9.637951642583333e-08,0.5871012279106648
2021-11-26 03:00:00,29975183.169166666,15741597.138333332,4451.295,1.17195419345e-07,5.354135716666667e-07,1.0457708651973251e-07,0.5251510204842893
2021-11-26 03:10:00,29985375.40857143,14621754.075714286,4458.099,9.678670176950477e-08,4.6959625380952377e-07,8.450249624589904e-08,0.48763973938308725
2021-11-26 03:20:00,29983969.601666667,16457093.865,4462.558,9.3751389821735e-08,7.90653145e-07,8.058024020322501e-08,0.5488373754993466
2021-11-26 03:30:00,29986479.135,17204467.101666667,4452.912,1.0209573539367666e-07,7.302910633333333e-07,8.611470830757333e-08,0.5737332121416989
2021-11-26 03:40:00,29994614.53333333,15872891.5,4445.067,1.3921127697153335e-07,4.478506016666667e-06,1.0363029475664166e-07,0.5291499728816911
2021-11-26 03:50:00,29981108.211666666,17163561.55,4435.005,1.20618522638015e-07,9.914759949999998e-07,1.0583795642702999e-07,0.5724846694135165
2021-11-26 04:00:00,29968024.669999998,14959941.117500002,4431.398999999999,1.1014886532359749e-07,1.2751250008333334e-06,9.009700609578166e-08,0.49925283943902504
2021-11-26 04:10:00,29962674.598333336,15903598.698333334,4430.304,1.0035072837899668e-07,6.5628705e-07,8.941625650830666e-08,0.5308195397066067
2021-11-26 04:20:00,29956745.22607143,15423973.133571427,4437.913,9.814500557508595e-08,1.039472021547619e-06,8.34245719766162e-08,0.5148782790419616
2021-11-26 04:30:00,29996611.64936508,17763236.740793653,4422.836,9.390040447541778e-08,3.9370606777777776e-07,8.218213357384332e-08,0.5920971343600663
2021-11-26 04:40:00,29977524.431666665,16872970.633333333,4407.469999999999,1.0198952175777501e-07,4.760359333333333e-07,9.111579857196668e-08,0.5628697522883086
2021-11-26 04:50:00,29991458.351944447,16738122.17984127,4416.954,8.456286246571035e-08,3.123506239131357e-07,7.157340292356833e-08,0.5580910500200198
2021-11-26 05:00:00,29963875.230714284,18898267.43047619,4423.219999999999,9.332143857416048e-08,4.6811112166666667e-07,8.220643883098643e-08,0.6308216350011948
2021-11-26 05:10:00,29956010.405,16642317.365,4409.666,1.09240668396935e-07,9.98916845e-07,9.5972446191935e-08,0.555521180110433
2021-11-26 05:20:00,29994326.005873017,16636257.679682542,4410.155000000001,9.346999794944507e-08,3.768940073015873e-07,8.177256649266809e-08,0.5546638357673915
2021-11-26 05:30:00,29961695.524166666,16146639.538333332,4418.2339999999995,8.973925124948084e-08,2.49230795e-07,7.987630467153334e-08,0.5389555953534727
2021-11-26 05:40:00,29952967.07928572,17582500.613571428,4418.396,9.17415945467912e-08,3.7372510095238093e-07,8.096632262584357e-08,0.5869940533613429
2021-11-26 05:50:00,29960515.213095237,16650751.442857143,4425.36,8.603753479010476e-08,2.383142326868838e-07,7.601444707878668e-08,0.5558108417651411
2021-11-26 06:00:00,29958514.083333332,16442783.0375,4430.111,9.178393549742916e-08,5.546204191666667e-07,7.857571555616e-08,0.5487966797814277
2021-11-26 06:10:00,29974883.436190475,15603132.520238096,4429.778,9.09425384219131e-08,3.2012721571428574e-07,8.024010138388357e-08,0.5205265507835743
2021-11-26 06:20:00,30017253.116666667,17807096.733333334,4416.712,1.1320517011623334e-07,8.16344495e-07,9.929952558737e-08,0.5931861073753062
2021-11-26 06:30:00,29979090.860714287,17303604.483333334,4413.591,1.2956589333333334e-07,5.2965265e-07,1.1557969349353333e-07,0.5772181291624106
2021-11-26 06:40:00,29967247.839880954,15130392.662738096,4408.397,1.1156226596074999e-07,4.3844704880952384e-07,9.876267919540809e-08,0.5049458899311972
2021-11-26 06:50:00,29994586.56142857,17591167.73047619,4414.099,1.2120477366464526e-07,9.321198733333332e-07,1.0571834305190858e-07,0.5864329037860544
2021-11-26 07:00:00,29975710.461785715,14937174.131309524,4414.087,1.0253660953164249e-07,6.42650765595238e-07,8.389788399476118e-08,0.4983224671694808
2021-11-26 07:10:00,29987772.65833333,18033939.44047619,4408.933999999999,9.54826471020375e-08,3.440839696428572e-07,8.481897477322321e-08,0.6012857873142974
2021-11-26 07:20:00,29956528.258333333,17483767.333333336,4403.288,1.0367191087915714e-07,3.9240197215687145e-07,9.260782085152857e-08,0.5835549917281784
2021-11-26 07:30:00,29973137.6,16339362.433333334,4381.798,1.0977383097725833e-07,7.942846083333333e-07,9.570146301239167e-08,0.545083329955304
2021-11-26 07:40:00,29975785.206666667,16787198.53333333,4347.134,1.25373244341625e-07,3.213182953888889e-06,1.0190253683924389e-07,0.5600330228401343
2021-11-26 07:50:00,29957742.91654762,15557353.933214286,4326.97,1.1780463901475275e-07,6.815087545238096e-07,1.0504080362179334e-07,0.5192965749319335
2021-11-26 08:00:00,29963787.10542328,16571699.979629628,4317.408,1.3961493796296296e-07,4.934912609259259e-06,1.055211577592426e-07,0.5530894431764732
2021-11-26 08:10:00,29957438.69095238,17611590.499166667,4285.068,1.5152807833333332e-07,2.7632318471428573e-06,1.1436433807705905e-07,0.587936550665731
2021-11-26 08:20:00,29981618.443333335,18385007.14809524,4171.175,1.8078276952380954e-07,1.0424773973809525e-06,1.5797806357142857e-07,0.6132410664092871
2021-11-26 08:30:00,29969787.434444446,16159534.633333335,4138.236,2.0634215916666668e-07,1.764485723333333e-06,1.7773587083333333e-07,0.5391770269606875
2021-11-26 08:40:00,29984096.508333333,18162745.383333333,4111.336,2.386687833333333e-07,1.827332375e-06,2.1018478333333333e-07,0.6057680609594241
2021-11-26 08:50:00,29967149.901666664,18265017.556666665,4052.504,2.616115883333333e-07,1.7521721316666668e-06,2.2661310333333332e-07,0.6095559955385581
2021-11-26 09:00:00,29961244.031428568,15041005.909047619,4092.7309999999998,3.027357404761905e-07,1.2034167083333333e-06,2.640910295238095e-07,0.5020058402338836
